Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
1000.0,5985.0,5545.0,5396.0,6122.0,251.0,252.0,252.0,252.0,23048.0,3839.0
2000.0,11876.0,11704.0,11995.0,11738.0,500.0,501.0,501.0,501.0,47313.0,3820.0
3000.0,20795.0,21297.0,21043.0,22037.0,749.0,750.0,750.0,750.0,85172.0,3801.0
3500.0,47917.0,49295.0,46385.0,47835.0,875.0,876.0,876.0,876.0,191432.0,3872.0
4000.0,107469.0,107613.0,106560.0,109628.0,998.0,999.0,999.0,999.0,431270.0,4030.0
4500.0,237327.0,238718.0,242892.0,239446.0,1123.0,1125.0,1125.0,1125.0,958383.0,4366.0
5000.0,457873.0,440990.0,421478.0,452898.0,1252.0,1254.0,1254.0,1254.0,1773239.0,4774.0
5500.0,678422.0,719833.0,714864.0,710577.0,1375.0,1377.0,1377.0,1377.0,2823696.0,5213.0
6000.0,978956.0,1024685.0,1051015.0,1046634.0,1498.0,1500.0,1500.0,1500.0,4101290.0,5618.0
