Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
1000.0,5969.0,5376.0,5458.0,6137.0,251.0,252.0,252.0,252.0,22940.0,3846.0
2000.0,11375.0,13029.0,11503.0,12612.0,500.0,501.0,501.0,501.0,48519.0,3814.0
3000.0,23010.0,22720.0,20292.0,22467.0,749.0,750.0,750.0,750.0,88489.0,3815.0
3500.0,64123.0,66601.0,68331.0,60246.0,875.0,876.0,876.0,876.0,259301.0,4041.0
4000.0,215537.0,149018.0,139732.0,142162.0,998.0,999.0,999.0,999.0,646449.0,4084.0
4500.0,627905.0,619108.0,198992.0,191938.0,1123.0,1125.0,1125.0,1125.0,1637943.0,4630.0
5000.0,385091.0,501111.0,472233.0,436197.0,1252.0,1254.0,1254.0,1254.0,1794632.0,4800.0
5500.0,1246959.0,692365.0,499840.0,511671.0,1375.0,1377.0,1377.0,1377.0,2950835.0,5313.0
6000.0,1103685.0,1071552.0,907704.0,1050897.0,1498.0,1500.0,1500.0,1500.0,4133838.0,5615.0
