Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
1000.0,9663.0,10233.0,10056.0,10772.0,251.0,252.0,252.0,252.0,40724.0,3877.0
2000.0,19787.0,21126.0,19682.0,21122.0,500.0,501.0,501.0,501.0,81717.0,3843.0
3000.0,33165.0,31793.0,32481.0,33472.0,749.0,750.0,750.0,750.0,130911.0,3846.0
3500.0,43515.0,43072.0,41017.0,43131.0,875.0,876.0,876.0,876.0,170735.0,3849.0
4000.0,114927.0,113683.0,121745.0,120355.0,998.0,999.0,999.0,999.0,470710.0,4115.0
4500.0,284150.0,289617.0,277681.0,286053.0,1123.0,1125.0,1125.0,1125.0,1137501.0,4605.0
5000.0,513537.0,515623.0,499814.0,510884.0,1252.0,1254.0,1254.0,1254.0,2039858.0,5075.0
5500.0,766189.0,763620.0,734120.0,769172.0,1375.0,1377.0,1377.0,1377.0,3033101.0,5564.0
6000.0,1025809.0,1014817.0,991511.0,1022633.0,1498.0,1500.0,1500.0,1500.0,4054770.0,6093.0
