Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
3000,29023.0,21515.0,37454.0,21670.0,860.0,910.0,650.0,585.0,109662.0,3822.0
3500,124309.0,143232.0,82798.0,86132.0,1001.0,1063.0,758.0,684.0,436471.0,4116.0
4000,186054.0,356616.0,146577.0,108540.0,1144.0,1213.0,869.0,779.0,797787.0,4266.0
4500,212773.0,759515.0,316094.0,249813.0,1289.0,1363.0,976.0,879.0,1538195.0,4617.0
5000,491865.0,1014736.0,496526.0,443980.0,1430.0,1513.0,1083.0,977.0,2447107.0,5130.0
5500,746984.0,1211929.0,725193.0,794445.0,1573.0,1666.0,1192.0,1072.0,3478551.0,5525.0
