Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total Waiting Time,Clear Time
1000.0,11247.0,11269.0,10196.0,8908.0,41620.0,3843.0
2000.0,26299.0,24214.0,22628.0,19872.0,93013.0,3853.0
3000.0,46559.0,45752.0,62651.0,64105.0,219067.0,3944.0
3500.0,79703.0,62677.0,99513.0,103385.0,345278.0,4014.0
4000.0,252911.0,303071.0,219993.0,225472.0,1001447.0,4407.0
4500.0,388724.0,497362.0,422579.0,424350.0,1733015.0,4853.0
5000.0,507868.0,677567.0,765838.0,720626.0,2671899.0,5356.0
