Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
3000,63313.0,63422.0,136275.0,107367.0,860.0,910.0,650.0,585.0,370377.0,4247.0
3500,74752.0,77266.0,323622.0,328773.0,1001.0,1063.0,758.0,684.0,804413.0,4758.0
4000,96201.0,89316.0,606680.0,579941.0,1144.0,1213.0,869.0,779.0,1372138.0,5504.0
4500,121992.0,101190.0,920115.0,894077.0,1289.0,1363.0,976.0,879.0,2037374.0,6259.0
5000,277767.0,128041.0,1276480.0,1190069.0,1430.0,1513.0,1083.0,977.0,2872357.0,6779.0
5500,536810.0,275904.0,1587814.0,1527286.0,1573.0,1666.0,1192.0,1072.0,3927814.0,7512.0
