Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
1000.0,13653.0,12846.0,21944.0,28723.0,202.0,201.0,270.0,333.0,77166.0,3978.0
2000.0,27146.0,28442.0,49451.0,358400.0,400.0,399.0,533.0,668.0,463439.0,4939.0
3000.0,43480.0,41138.0,645287.0,1358583.0,600.0,599.0,801.0,1000.0,2088488.0,7207.0
3500.0,51116.0,48264.0,959150.0,1933274.0,701.0,700.0,934.0,1167.0,2991804.0,8239.0
4000.0,59355.0,56555.0,1438072.0,2433516.0,801.0,800.0,1069.0,1334.0,3987498.0,9258.0
4500.0,71634.0,65323.0,1827030.0,2878634.0,900.0,898.0,1201.0,1500.0,4842621.0,10483.0
5000.0,78987.0,78299.0,2227203.0,3298918.0,1001.0,1000.0,1336.0,1668.0,5683407.0,11276.0
