Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total Waiting Time,Clear Time
1000.0,4726.0,4643.0,6209.0,8275.0,23853.0,3824.0
2000.0,11096.0,10757.0,28397.0,35887.0,86137.0,3873.0
3000.0,71634.0,116758.0,94670.0,101075.0,384137.0,4303.0
3500.0,163016.0,255666.0,213378.0,342146.0,974206.0,4854.0
4000.0,216468.0,347223.0,479617.0,809519.0,1852827.0,5301.0
4500.0,265667.0,437891.0,839246.0,1201924.0,2744728.0,5818.0
5000.0,322260.0,541131.0,1264580.0,1529595.0,3657566.0,6374.0
