Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
3000,28310.0,25078.0,25572.0,22418.0,860.0,910.0,650.0,585.0,101378.0,3843.0
3500,112968.0,125283.0,86398.0,78463.0,1001.0,1063.0,758.0,684.0,403112.0,4076.0
4000,162038.0,319609.0,193898.0,115213.0,1144.0,1213.0,869.0,779.0,790758.0,4228.0
4500,233060.0,487943.0,380056.0,299415.0,1289.0,1363.0,976.0,879.0,1400474.0,4574.0
5000,378684.0,691024.0,658497.0,432980.0,1430.0,1513.0,1083.0,977.0,2161185.0,5090.0
5500,801501.0,891992.0,1081068.0,549204.0,1573.0,1666.0,1192.0,1072.0,3323765.0,5503.0
