Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total Waiting Time,Clear Time
1000.0,6617.0,7306.0,5534.0,5013.0,24470.0,3804.0
2000.0,13980.0,15301.0,11515.0,10210.0,51006.0,3841.0
3000.0,36010.0,33919.0,31385.0,27179.0,128493.0,3852.0
3500.0,69891.0,99167.0,58914.0,51411.0,279383.0,3939.0
4000.0,160996.0,233797.0,134175.0,120373.0,649341.0,4290.0
4500.0,278537.0,386374.0,418766.0,278067.0,1361744.0,4648.0
5000.0,491544.0,559085.0,688537.0,498587.0,2237753.0,5088.0
