Types,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
Fix Phased,48295.0,91243.0,12286.0,17941.0,658.0,1237.0,149.0,214.0,169765.0,3870.0
Halting Number max 60,15621.0,60117.0,3435.0,5000.0,658.0,1237.0,149.0,214.0,84173.0,3831.0
Halting Number max 120,15812.0,50305.0,3394.0,4943.0,658.0,1237.0,149.0,214.0,74454.0,3830.0
Proportion Latest,23215.0,25610.0,5365.0,7437.0,658.0,1237.0,149.0,214.0,61627.0,3799.0


