Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
1000.0,4726.0,4643.0,6209.0,8275.0,202.0,201.0,270.0,333.0,23853.0,3824.0
2000.0,11096.0,10757.0,28397.0,35887.0,400.0,399.0,533.0,668.0,86137.0,3873.0
3000.0,71634.0,116758.0,94670.0,101075.0,600.0,599.0,801.0,1000.0,384137.0,4303.0
3500.0,163016.0,255666.0,213378.0,342146.0,701.0,700.0,934.0,1167.0,974206.0,4854.0
4000.0,216468.0,347223.0,479617.0,809519.0,801.0,800.0,1069.0,1334.0,1852827.0,5301.0
4500.0,265667.0,437891.0,839246.0,1201924.0,900.0,898.0,1201.0,1500.0,2744728.0,5818.0
5000.0,322260.0,541131.0,1264580.0,1529595.0,1001.0,1000.0,1336.0,1668.0,3657566.0,6374.0
