Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
1000.0,6796.0,6741.0,5336.0,4085.0,285.0,306.0,217.0,196.0,22958.0,3812.0
2000.0,12998.0,14082.0,11043.0,8931.0,565.0,608.0,435.0,394.0,47054.0,3820.0
3000.0,27685.0,23434.0,48369.0,22363.0,849.0,912.0,654.0,588.0,121851.0,3867.0
3500.0,145556.0,96319.0,154963.0,143033.0,992.0,1066.0,763.0,686.0,539871.0,4292.0
4000.0,332373.0,422194.0,235224.0,248125.0,1131.0,1216.0,870.0,785.0,1237916.0,4534.0
4500.0,450121.0,970066.0,377992.0,331407.0,1272.0,1370.0,979.0,882.0,2129586.0,4930.0
5000.0,568019.0,1281408.0,554558.0,586877.0,1414.0,1524.0,1090.0,980.0,2990862.0,5267.0
