Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total Waiting Time,Clear Time
1000.0,6763.0,7506.0,4832.0,4815.0,23916.0,3801.0
2000.0,14585.0,14490.0,11079.0,9751.0,49905.0,3821.0
3000.0,31688.0,29275.0,31791.0,26280.0,119034.0,3852.0
3500.0,69572.0,100672.0,59260.0,51288.0,280792.0,3990.0
4000.0,160819.0,241771.0,138825.0,123105.0,664520.0,4285.0
4500.0,276763.0,396143.0,406118.0,266482.0,1345506.0,4695.0
5000.0,490799.0,547621.0,707760.0,490643.0,2236823.0,5093.0
