Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
3000,29121.0,24304.0,23466.0,19111.0,860.0,910.0,650.0,585.0,96002.0,3821.0
3500,52363.0,75655.0,40406.0,36795.0,1001.0,1063.0,758.0,684.0,205219.0,3953.0
4000,137346.0,202561.0,120186.0,104791.0,1144.0,1213.0,869.0,779.0,564884.0,4121.0
4500,260965.0,337203.0,392931.0,265222.0,1289.0,1363.0,976.0,879.0,1256321.0,4564.0
5000,470801.0,499987.0,701315.0,494943.0,1430.0,1513.0,1083.0,977.0,2167046.0,5033.0
5500,779489.0,703992.0,1028521.0,733254.0,1573.0,1666.0,1192.0,1072.0,3245256.0,5464.0
