Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total Waiting Time,Clear Time
1000.0,6572.0,7210.0,5106.0,4568.0,23456.0,3841.0
2000.0,15003.0,15185.0,11314.0,9567.0,51069.0,3821.0
3000.0,33674.0,29673.0,31546.0,26761.0,121654.0,3844.0
3500.0,69755.0,97591.0,59866.0,52316.0,279528.0,3949.0
4000.0,164238.0,242050.0,143860.0,123065.0,673213.0,4208.0
4500.0,274040.0,384213.0,395933.0,282337.0,1336523.0,4660.0
5000.0,496830.0,567344.0,731970.0,509548.0,2305692.0,5108.0
