Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total Waiting Time,Clear Time
1000.0,12016.0,12115.0,9358.0,9436.0,42925.0,3860.0
2000.0,37286.0,45678.0,31783.0,30538.0,145285.0,3863.0
3000.0,90166.0,93186.0,115653.0,88345.0,387350.0,3942.0
3500.0,106616.0,108879.0,333691.0,259360.0,808546.0,4300.0
4000.0,128032.0,120923.0,560163.0,483638.0,1292756.0,4670.0
4500.0,163049.0,143155.0,823297.0,710768.0,1840269.0,5099.0
5000.0,255691.0,170778.0,1104011.0,971875.0,2502355.0,5446.0
