Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total Waiting Time,Clear Time
1000.0,7275.0,7215.0,5332.0,4747.0,24569.0,3824.0
2000.0,14165.0,14994.0,11016.0,10131.0,50306.0,3821.0
3000.0,34393.0,32590.0,31421.0,25623.0,124027.0,3848.0
3500.0,69794.0,100900.0,58825.0,52221.0,281740.0,3945.0
4000.0,163233.0,237616.0,138743.0,127404.0,666996.0,4252.0
4500.0,268097.0,393364.0,401770.0,275763.0,1338994.0,4646.0
5000.0,481560.0,560170.0,706729.0,503748.0,2252207.0,5057.0
