Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
3000,29121.0,24304.0,23466.0,19111.0,860.0,910.0,650.0,585.0,96002.0,3821.0
3500,52363.0,75655.0,40406.0,36795.0,1001.0,1063.0,758.0,684.0,205219.0,3953.0
4000,107932.0,155503.0,191800.0,81231.0,1144.0,1213.0,869.0,779.0,536466.0,4176.0
4500,251153.0,252569.0,502378.0,322254.0,1289.0,1363.0,976.0,879.0,1328354.0,4772.0
5000,511214.0,423404.0,773503.0,522789.0,1430.0,1513.0,1083.0,977.0,2230910.0,5279.0
5500,830858.0,616671.0,1081788.0,772519.0,1573.0,1666.0,1192.0,1072.0,3301836.0,5763.0
