Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total Waiting Time,Clear Time
1000.0,19342.0,19724.0,18474.0,16324.0,73864.0,3856.0
2000.0,39858.0,40540.0,35645.0,34645.0,150688.0,3934.0
3000.0,63755.0,64577.0,141421.0,115181.0,384934.0,4241.0
3500.0,77722.0,77076.0,367268.0,316506.0,838572.0,4986.0
4000.0,92400.0,88947.0,611328.0,567640.0,1360315.0,5512.0
4500.0,116325.0,102973.0,947408.0,887130.0,2053836.0,6255.0
5000.0,260869.0,140133.0,1313707.0,1185707.0,2900416.0,6797.0
