Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
2500,65226.0,71015.0,25123.0,23539.0,742.0,1050.0,375.0,336.0,184903.0,3735.0
3000,139883.0,89097.0,31626.0,27521.0,889.0,1256.0,450.0,405.0,288127.0,3747.0
3500,299882.0,112970.0,37161.0,34180.0,1037.0,1466.0,528.0,471.0,484193.0,3778.0
4000,555301.0,167355.0,43144.0,37948.0,1186.0,1678.0,600.0,540.0,803748.0,4028.0
4500,288750.0,398305.0,49087.0,42432.0,1335.0,1889.0,675.0,606.0,778574.0,4020.0
5000,688043.0,541117.0,257519.0,87682.0,1483.0,2096.0,750.0,675.0,1574361.0,4424.0
