Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
2500,16253.0,27257.0,8055.0,7128.0,742.0,1050.0,375.0,336.0,58693.0,3623.0
3000,25385.0,40665.0,9156.0,8608.0,889.0,1256.0,450.0,405.0,83814.0,3644.0
3500,40712.0,51575.0,13718.0,11426.0,1037.0,1466.0,528.0,471.0,117431.0,3671.0
4000,80572.0,133297.0,43907.0,43467.0,1186.0,1678.0,600.0,540.0,301243.0,3745.0
4500,208070.0,417341.0,58736.0,49729.0,1335.0,1889.0,675.0,606.0,733876.0,4004.0
5000,495067.0,743063.0,151279.0,56114.0,1483.0,2096.0,750.0,675.0,1445523.0,4351.0
