Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
2500,50256.0,65175.0,29788.0,27844.0,742.0,1050.0,375.0,336.0,173063.0,3731.0
3000,62329.0,81190.0,36821.0,34969.0,889.0,1256.0,450.0,405.0,215309.0,3732.0
3500,76029.0,98198.0,44793.0,40932.0,1037.0,1466.0,528.0,471.0,259952.0,3736.0
4000,90706.0,118094.0,65381.0,49777.0,1186.0,1678.0,600.0,540.0,323958.0,3736.0
4500,105813.0,156252.0,172483.0,115588.0,1335.0,1889.0,675.0,606.0,550136.0,4191.0
5000,283674.0,335550.0,297987.0,264687.0,1483.0,2096.0,750.0,675.0,1181898.0,4465.0
