Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
2500,20196.0,26439.0,9180.0,8529.0,742.0,1050.0,375.0,336.0,64344.0,3653.0
3000,24461.0,40049.0,9451.0,8319.0,889.0,1256.0,450.0,405.0,82280.0,3652.0
3500,39385.0,52317.0,13949.0,11334.0,1037.0,1466.0,528.0,471.0,116985.0,3693.0
4000,67895.0,100896.0,46614.0,47814.0,1186.0,1678.0,600.0,540.0,263219.0,3812.0
4500,523483.0,276124.0,49184.0,51700.0,1335.0,1889.0,675.0,606.0,900491.0,4046.0
5000,613203.0,571471.0,226644.0,76837.0,1483.0,2096.0,750.0,675.0,1488155.0,4367.0
