Vehicles,North Waiting Time,South Waiting Time,East Waiting Time,West Waiting Time,Total North Car,Total South Car,Total East Car,Total West Car,Total Waiting Time,Clear Time
2500,16547.0,27314.0,7969.0,6826.0,742.0,1050.0,375.0,336.0,58656.0,3625.0
3000,24979.0,41936.0,9222.0,8411.0,889.0,1256.0,450.0,405.0,84548.0,3632.0
3500,36063.0,51254.0,13492.0,11183.0,1037.0,1466.0,528.0,471.0,111992.0,3664.0
4000,50858.0,72738.0,31137.0,25344.0,1186.0,1678.0,600.0,540.0,180077.0,3717.0
4500,109251.0,158014.0,69193.0,60576.0,1335.0,1889.0,675.0,606.0,397034.0,3793.0
5000,291613.0,454669.0,148310.0,119844.0,1483.0,2096.0,750.0,675.0,1014436.0,4054.0
